base_dados,metodo,acuracia,fpr,sensitividade,especificidade,precisao,F-medida,mcc,sensitividadeMacro,precisaoMacro,F-medidaMacro,sensitividadeMicro,precisaoMicro,F-medidaMicro,kappa,tempo
youtube-eminem,SGD,0.895,0.125,0.911,0.875,0.898,0.904,0.787,0.893,0.894,0.894,0.895,0.895,0.895,0.787,1.200
youtube-katyperry,B.NB,0.911,0.057,0.879,0.943,0.939,0.908,0.824,0.911,0.913,0.912,0.911,0.911,0.911,0.822,2.200
youtube-katyperry,M.NB,0.897,0.104,0.897,0.896,0.896,0.897,0.793,0.897,0.897,0.897,0.897,0.897,0.897,0.793,1.760
youtube-katyperry,SGD,0.876,0.136,0.888,0.864,0.867,0.877,0.752,0.876,0.876,0.876,0.876,0.876,0.876,0.752,1.780
youtube-lmfao,B.NB,0.927,0.059,0.915,0.941,0.948,0.931,0.854,0.928,0.926,0.927,0.927,0.927,0.927,0.854,2.260
youtube-lmfao,M.NB,0.906,0.135,0.940,0.865,0.891,0.915,0.811,0.903,0.908,0.905,0.906,0.906,0.906,0.809,2.000
youtube-lmfao,SGD,0.907,0.107,0.919,0.893,0.909,0.914,0.813,0.906,0.907,0.906,0.907,0.907,0.907,0.813,2.020
youtube-psy,M.NB,0.938,0.069,0.945,0.931,0.932,0.939,0.876,0.938,0.938,0.938,0.938,0.938,0.938,0.876,1.400
youtube-psy,B.NB,0.934,0.046,0.915,0.954,0.952,0.933,0.870,0.934,0.935,0.935,0.934,0.934,0.934,0.869,2.100
youtube-psy,SGD,0.912,0.093,0.917,0.907,0.908,0.913,0.824,0.912,0.912,0.912,0.912,0.912,0.912,0.824,1.440
youtube-shakira,M.NB,0.913,0.069,0.892,0.931,0.920,0.906,0.825,0.912,0.914,0.913,0.913,0.913,0.913,0.825,1.000
youtube-shakira,SGD,0.905,0.092,0.902,0.908,0.897,0.900,0.810,0.905,0.905,0.905,0.905,0.905,0.905,0.810,1.020
youtube-shakira,B.NB,0.873,0.024,0.756,0.976,0.966,0.848,0.758,0.866,0.892,0.879,0.873,0.873,0.873,0.741,1.400
blogspam,MDLText,0.844,0.085,0.810,0.915,0.952,0.875,0.686,0.862,0.825,0.843,0.844,0.844,0.844,0.670,3.785
reviewspam,MDLText,0.835,0.186,0.857,0.814,0.822,0.839,0.671,0.835,0.836,0.836,0.835,0.835,0.835,0.671,7.387
sms,MDLText,0.974,0.020,0.935,0.980,0.880,0.907,0.892,0.958,0.935,0.946,0.974,0.974,0.974,0.892,19.519
youtube-eminem,MDLText,0.903,0.175,0.968,0.825,0.870,0.917,0.809,0.897,0.913,0.905,0.903,0.903,0.903,0.803,0.629
youtube-katyperry,MDLText,0.905,0.120,0.929,0.880,0.887,0.907,0.811,0.905,0.906,0.905,0.905,0.905,0.905,0.809,0.514
youtube-lmfao,MDLText,0.896,0.140,0.927,0.860,0.885,0.906,0.791,0.893,0.898,0.895,0.896,0.896,0.896,0.790,0.574
youtube-psy,MDLText,0.935,0.084,0.953,0.916,0.919,0.936,0.870,0.935,0.936,0.935,0.935,0.935,0.935,0.869,0.488
youtube-shakira,MDLText,0.919,0.106,0.947,0.894,0.889,0.917,0.840,0.921,0.920,0.920,0.919,0.919,0.919,0.838,0.530
